Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Nameplate Energy Capacity (MWh),DC Net Capacity (MW),Planned Derate Year,Planned Derate Month,Planned Derate of Summer Capacity (MW),Planned Uprate Year,Planned Uprate Month,Planned Uprate of Summer Capacity (MW),Latitude,Longitude
39006,Brookfield White Pine Hydro LLC,805.0,Charles E Monty,Map,Map,ME,Androscoggin,ISNE,IPP Non-CHP,M2,,14.2,14,14,Conventional Hydroelectric,WAT,HY,1.0,1990.0, , ,(OP) Operating, , , , , , , , ,44.099461,-70.22085
59178,"Brookfield Black Bear Hydro, LLC",1469.0,Ellsworth Hydro Station,Map,Map,ME,Hancock,ISNE,IPP Non-CHP,EL01,,2.5,2.6,2.5,Conventional Hydroelectric,WAT,HY,7.0,1924.0, , ,(OP) Operating, , , , , , , , ,44.5442,-68.4306
59178,"Brookfield Black Bear Hydro, LLC",1469.0,Ellsworth Hydro Station,Map,Map,ME,Hancock,ISNE,IPP Non-CHP,EL02,,2.0,2.1,2,Conventional Hydroelectric,WAT,HY,7.0,1938.0, , ,(OP) Operating, , , , , , , , ,44.5442,-68.4306
59178,"Brookfield Black Bear Hydro, LLC",1469.0,Ellsworth Hydro Station,Map,Map,ME,Hancock,ISNE,IPP Non-CHP,EL03,,2.0,2.1,2,Conventional Hydroelectric,WAT,HY,7.0,1938.0, , ,(OP) Operating, , , , , , , , ,44.5442,-68.4306
59178,"Brookfield Black Bear Hydro, LLC",1469.0,Ellsworth Hydro Station,Map,Map,ME,Hancock,ISNE,IPP Non-CHP,EL04,,2.4,2.5,2.4,Conventional Hydroelectric,WAT,HY,7.0,1924.0, , ,(OP) Operating, , , , , , , , ,44.5442,-68.4306
59178,"Brookfield Black Bear Hydro, LLC",1475.0,Milford Hydro Station,Map,Map,ME,Penobscot,ISNE,IPP Non-CHP,MF01,,0.7,0.7,0.7,Conventional Hydroelectric,WAT,HY,11.0,2011.0, , ,(OP) Operating, , , , , , , , ,44.942064,-68.64504
59178,"Brookfield Black Bear Hydro, LLC",1475.0,Milford Hydro Station,Map,Map,ME,Penobscot,ISNE,IPP Non-CHP,MF02,,0.7,0.7,0.7,Conventional Hydroelectric,WAT,HY,11.0,2011.0, , ,(OP) Operating, , , , , , , , ,44.942064,-68.64504
59178,"Brookfield Black Bear Hydro, LLC",1475.0,Milford Hydro Station,Map,Map,ME,Penobscot,ISNE,IPP Non-CHP,MF03,,1.6,1.6,1.6,Conventional Hydroelectric,WAT,HY,7.0,1956.0, , ,(OP) Operating, , , , , , , , ,44.942064,-68.64504
59178,"Brookfield Black Bear Hydro, LLC",1475.0,Milford Hydro Station,Map,Map,ME,Penobscot,ISNE,IPP Non-CHP,MF04,,1.6,1.6,1.6,Conventional Hydroelectric,WAT,HY,7.0,1946.0, , ,(OP) Operating, , , , , , , , ,44.942064,-68.64504
59178,"Brookfield Black Bear Hydro, LLC",1475.0,Milford Hydro Station,Map,Map,ME,Penobscot,ISNE,IPP Non-CHP,MF05,,1.6,1.6,1.6,Conventional Hydroelectric,WAT,HY,7.0,1941.0, , ,(OP) Operating, , , , , , , , ,44.942064,-68.64504
59178,"Brookfield Black Bear Hydro, LLC",1475.0,Milford Hydro Station,Map,Map,ME,Penobscot,ISNE,IPP Non-CHP,MF06,,1.6,1.6,1.6,Conventional Hydroelectric,WAT,HY,7.0,1942.0, , ,(OP) Operating, , , , , , , , ,44.942064,-68.64504
59178,"Brookfield Black Bear Hydro, LLC",1478.0,Stillwater Hydro Station,Map,Map,ME,Penobscot,ISNE,IPP Non-CHP,SW01,,0.4,0.5,0.5,Conventional Hydroelectric,WAT,HY,1.0,1913.0, , ,(OP) Operating, , , , , , , , ,44.9094,-68.6833
59178,"Brookfield Black Bear Hydro, LLC",1478.0,Stillwater Hydro Station,Map,Map,ME,Penobscot,ISNE,IPP Non-CHP,SW02,,0.4,0.5,0.5,Conventional Hydroelectric,WAT,HY,1.0,1913.0, , ,(OP) Operating, , , , , , , , ,44.9094,-68.6833
59178,"Brookfield Black Bear Hydro, LLC",1478.0,Stillwater Hydro Station,Map,Map,ME,Penobscot,ISNE,IPP Non-CHP,SW03,,0.4,0.5,0.5,Conventional Hydroelectric,WAT,HY,1.0,1916.0, , ,(OP) Operating, , , , , , , , ,44.9094,-68.6833
59178,"Brookfield Black Bear Hydro, LLC",1478.0,Stillwater Hydro Station,Map,Map,ME,Penobscot,ISNE,IPP Non-CHP,SW04,,0.6,0.6,0.6,Conventional Hydroelectric,WAT,HY,1.0,1929.0, , ,(OP) Operating, , , , , , , , ,44.9094,-68.6833
39006,Brookfield White Pine Hydro LLC,1482.0,Bonny Eagle,Map,Map,ME,York,ISNE,IPP Non-CHP,1,,1.2,1.5,1.5,Conventional Hydroelectric,WAT,HY,1.0,1910.0, , ,(OP) Operating, , , , , , , , ,43.687688,-70.61155
39006,Brookfield White Pine Hydro LLC,1482.0,Bonny Eagle,Map,Map,ME,York,ISNE,IPP Non-CHP,2,,1.2,1.5,1.5,Conventional Hydroelectric,WAT,HY,1.0,1910.0, , ,(OP) Operating, , , , , , , , ,43.687688,-70.61155
39006,Brookfield White Pine Hydro LLC,1482.0,Bonny Eagle,Map,Map,ME,York,ISNE,IPP Non-CHP,3,,1.2,1.5,1.5,Conventional Hydroelectric,WAT,HY,1.0,1910.0, , ,(OP) Operating, , , , , , , , ,43.687688,-70.61155
39006,Brookfield White Pine Hydro LLC,1482.0,Bonny Eagle,Map,Map,ME,York,ISNE,IPP Non-CHP,4,,1.2,1.5,1.5,Conventional Hydroelectric,WAT,HY,1.0,1910.0, , ,(OP) Operating, , , , , , , , ,43.687688,-70.61155
39006,Brookfield White Pine Hydro LLC,1482.0,Bonny Eagle,Map,Map,ME,York,ISNE,IPP Non-CHP,5,,1.2,1.5,1.5,Conventional Hydroelectric,WAT,HY,1.0,1910.0, , ,(OP) Operating, , , , , , , , ,43.687688,-70.61155
39006,Brookfield White Pine Hydro LLC,1482.0,Bonny Eagle,Map,Map,ME,York,ISNE,IPP Non-CHP,6,,1.2,1.5,1.5,Conventional Hydroelectric,WAT,HY,1.0,1910.0, , ,(OP) Operating, , , , , , , , ,43.687688,-70.61155
39006,Brookfield White Pine Hydro LLC,1482.0,Bonny Eagle,Map,Map,ME,York,ISNE,IPP Non-CHP,BES1,,8.0,8,8,Batteries,MWH,BA,4.0,2023.0, , ,(OP) Operating,16, , , , , , , ,43.687688,-70.61155
39006,Brookfield White Pine Hydro LLC,1483.0,Brunswick Hydro,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,B1,,12.6,13,13,Conventional Hydroelectric,WAT,HY,3.0,1982.0, , ,(OP) Operating, , , , , , , , ,43.920486,-69.96782
39006,Brookfield White Pine Hydro LLC,1483.0,Brunswick Hydro,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,B2,,3.5,3.5,3.5,Conventional Hydroelectric,WAT,HY,4.0,1983.0, , ,(OP) Operating, , , , , , , , ,43.920486,-69.96782
39006,Brookfield White Pine Hydro LLC,1483.0,Brunswick Hydro,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,B3,,3.5,3.5,3.5,Conventional Hydroelectric,WAT,HY,4.0,1983.0, , ,(OP) Operating, , , , , , , , ,43.920486,-69.96782
14876,FPL Energy Cape LLC,1484.0,Cape Gas Turbine,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,GT4,,17.5,16,20,Petroleum Liquids,DFO,GT,1.0,1970.0, , ,(OP) Operating, , , , , , , , ,43.6436,-70.2544
14876,FPL Energy Cape LLC,1484.0,Cape Gas Turbine,Map,Map,ME,Cumberland,ISNE,IPP Non-CHP,GT5,,17.5,16,20,Petroleum Liquids,DFO,GT,1.0,1970.0, , ,(OP) Operating, , , , , , , , ,43.6436,-70.2544
39006,Brookfield White Pine Hydro LLC,1486.0,Cataract Hydro,Map,Map,ME,York,ISNE,IPP Non-CHP,1,,6.6,8,8,Conventional Hydroelectric,WAT,HY,1.0,1937.0, , ,(OP) Operating, , , , , , , , ,43.4956,-70.4472
39006,Brookfield White Pine Hydro LLC,1488.0,Deer Rips,Map,Map,ME,Androscoggin,ISNE,IPP Non-CHP,DR1,,0.6,0.7,0.7,Conventional Hydroelectric,WAT,HY,1.0,1903.0, , ,(OP) Operating, , , , , , , , ,44.134572,-70.20372
39006,Brookfield White Pine Hydro LLC,1488.0,Deer Rips,Map,Map,ME,Androscoggin,ISNE,IPP Non-CHP,DR2,,0.6,0.7,0.7,Conventional Hydroelectric,WAT,HY,1.0,1903.0, , ,(OP) Operating, , , , , , , , ,44.134572,-70.20372
39006,Brookfield White Pine Hydro LLC,1488.0,Deer Rips,Map,Map,ME,Androscoggin,ISNE,IPP Non-CHP,DR3,,0.9,0.8,0.8,Conventional Hydroelectric,WAT,HY,1.0,1906.0, , ,(OP) Operating, , , , , , , , ,44.134572,-70.20372
39006,Brookfield White Pine Hydro LLC,1488.0,Deer Rips,Map,Map,ME,Androscoggin,ISNE,IPP Non-CHP,DR4,,0.8,0.7,0.7,Conventional Hydroelectric,WAT,HY,1.0,1911.0, , ,(OP) Operating, , , , , , , , ,44.134572,-70.20372
39006,Brookfield White Pine Hydro LLC,1488.0,Deer Rips,Map,Map,ME,Androscoggin,ISNE,IPP Non-CHP,DR5,,0.8,0.7,0.7,Conventional Hydroelectric,WAT,HY,1.0,1913.0, , ,(OP) Operating, , , , , , , , ,44.134572,-70.20372
39006,Brookfield White Pine Hydro LLC,1488.0,Deer Rips,Map,Map,ME,Androscoggin,ISNE,IPP Non-CHP,DR6,,1.8,1.7,1.7,Conventional Hydroelectric,WAT,HY,1.0,1919.0, , ,(OP) Operating, , , , , , , , ,44.134572,-70.20372
39006,Brookfield White Pine Hydro LLC,1488.0,Deer Rips,Map,Map,ME,Androscoggin,ISNE,IPP Non-CHP,DR7,,1.0,0.9,0.9,Conventional Hydroelectric,WAT,HY,1.0,1924.0, , ,(OP) Operating, , , , , , , , ,44.134572,-70.20372
39006,Brookfield White Pine Hydro LLC,1491.0,Gulf Island,Map,Map,ME,Androscoggin,ISNE,IPP Non-CHP,GI1,,6.4,7.2,7.2,Conventional Hydroelectric,WAT,HY,1.0,1926.0, , ,(OP) Operating, , , , , , , , ,44.152854,-70.20938
39006,Brookfield White Pine Hydro LLC,1491.0,Gulf Island,Map,Map,ME,Androscoggin,ISNE,IPP Non-CHP,GI2,,6.4,8.1,8.1,Conventional Hydroelectric,WAT,HY,1.0,1926.0, , ,(OP) Operating, , , , , , , , ,44.152854,-70.20938
39006,Brookfield White Pine Hydro LLC,1491.0,Gulf Island,Map,Map,ME,Androscoggin,ISNE,IPP Non-CHP,GI3,,6.4,7.9,7.9,Conventional Hydroelectric,WAT,HY,1.0,1926.0, , ,(OP) Operating, , , , , , , , ,44.152854,-70.20938
