Time id,Generator Name,Generator Id,Dispatched Energy,Unit Status,Ramp Down Rate (MW/h),Ramp Up Rate (MW/h),Max Capacity,Minimum Capacity,Demand
0,Bonny Eagle,2,1.2,1.0,0.48,0.48,1.2,0.36,24435
0,Bonny Eagle,3,1.2,1.0,0.48,0.48,1.2,0.36,24435
0,Bonny Eagle,4,1.2,1.0,0.48,0.48,1.2,0.36,24435
0,Bonny Eagle,5,1.2,1.0,0.48,0.48,1.2,0.36,24435
0,Bonny Eagle,6,1.2,1.0,0.48,0.48,1.2,0.36,24435
0,Bonny Eagle,BES1,0.0,0.0,3.2,3.2,8.0,2.4,24435
0,Brunswick Hydro,B1,12.6,1.0,5.04,5.04,12.6,3.78,24435
0,Brunswick Hydro,B2,3.5,1.0,1.4,1.4,3.5,1.05,24435
0,Brunswick Hydro,B3,3.5,1.0,1.4,1.4,3.5,1.05,24435
0,Cape Gas Turbine,GT4,17.5,1.0,7.0,7.0,17.5,5.25,24435
0,Cape Gas Turbine,GT5,10.325,1.0,7.0,7.0,17.5,5.25,24435
0,Cataract Hydro,1,6.6,1.0,2.64,2.64,6.6,1.98,24435
0,Deer Rips,DR1,0.6,1.0,0.24,0.24,0.6,0.18,24435
0,Deer Rips,DR2,0.6,1.0,0.24,0.24,0.6,0.18,24435
0,Deer Rips,DR3,0.9,1.0,0.36,0.36,0.9,0.27,24435
0,Deer Rips,DR4,0.8,1.0,0.32,0.32,0.8,0.24,24435
0,Deer Rips,DR5,0.8,1.0,0.32,0.32,0.8,0.24,24435
0,Deer Rips,DR6,1.8,1.0,0.72,0.72,1.8,0.54,24435
0,Deer Rips,DR7,1.0,1.0,0.4,0.4,1.0,0.3,24435
0,Gulf Island,GI1,6.4,1.0,2.56,2.56,6.4,1.92,24435
0,Gulf Island,GI2,6.4,1.0,2.56,2.56,6.4,1.92,24435
0,Gulf Island,GI3,6.4,1.0,2.56,2.56,6.4,1.92,24435
0,Harris Hydro,HA1,15.0,1.0,6.0,6.0,15.0,4.5,24435
0,Harris Hydro,HA2,30.0,1.0,12.0,12.0,30.0,9.0,24435
0,Harris Hydro,HA3,30.0,1.0,12.0,12.0,30.0,9.0,24435
0,Harris Hydro,HA4,1.4,1.0,0.56,0.56,1.4,0.42,24435
0,Hiram,1,2.4,1.0,0.96,0.96,2.4,0.72,24435
0,Hiram,2,8.1,1.0,3.24,3.24,8.1,2.43,24435
0,Messalonskee 2 (Oakland),1,2.8,1.0,1.12,1.12,2.8,0.84,24435
0,Messalonskee 3,1,1.6,1.0,0.64,0.64,1.6,0.48,24435
0,Messalonskee 5,1,1.8,1.0,0.72,0.72,1.8,0.54,24435
0,North Gorham,1,1.1,1.0,0.44,0.44,1.1,0.33,24435
0,North Gorham,2,1.1,1.0,0.44,0.44,1.1,0.33,24435
0,Shawmut,SH1,0.7,1.0,0.28,0.28,0.7,0.21,24435
0,Shawmut,SH2,0.7,1.0,0.28,0.28,0.7,0.21,24435
0,Shawmut,SH3,0.7,1.0,0.28,0.28,0.7,0.21,24435
0,Shawmut,SH4,0.7,1.0,0.28,0.28,0.7,0.21,24435
0,Shawmut,SH5,0.7,1.0,0.28,0.28,0.7,0.21,24435
0,Shawmut,SH6,0.9,1.0,0.36,0.36,0.9,0.27,24435
0,Shawmut,SH7,2.2,1.0,0.88,0.88,2.2,0.66,24435
0,Shawmut,SH8,2.2,1.0,0.88,0.88,2.2,0.66,24435
0,Skelton,1,8.4,1.0,3.36,3.36,8.4,2.52,24435
0,Skelton,2,8.4,1.0,3.36,3.36,8.4,2.52,24435
0,William F Wyman Hybrid,1,50.0,1.0,20.0,20.0,50.0,15.0,24435
0,William F Wyman Hybrid,2,50.0,1.0,20.0,20.0,50.0,15.0,24435
0,William F Wyman Hybrid,3,113.6,1.0,45.44,45.44,113.6,34.08,24435
0,William F Wyman Hybrid,4,632.4,1.0,252.96,252.96,632.4,189.72,24435
